"DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_CIUDAD","Ciudad","Value","Flag Codes","Flags"
"2010-V02","2010 ene-mar","_T","Total Nacional",9.0397394896575,,
"2010-V02","2010 ene-mar","CL151011","Arica",8.42715911888831,,
"2010-V02","2010 ene-mar","CL011071","Alto Hospicio",5.07197664687313,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL011011","Iquique",8.23396379000167,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL021011","Antofagasta",6.98621669599473,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL022011","Calama",12.138569160639,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL031011","Copiapó",10.5932365497505,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL033011","Vallenar",9.29785686439042,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL041021","Coquimbo",12.5919629703191,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL041012","La Serena",10.9690924304982,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL043013","Ovalle",7.84911271059641,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL051013","Valparaíso",13.6723250686201,,
"2010-V02","2010 ene-mar","CL0510_31_91","Viña del Mar",13.6064938454929,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"2010-V02","2010 ene-mar","CL056011","San Antonio",11.5494710992739,,
"2010-V02","2010 ene-mar","CL13101_AGR","Gran Santiago",9.40007505051104,,
"2010-V02","2010 ene-mar","CL061011","Rancagua",5.96191971978738,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
