"comuna","año","Basica","Media.HC","Media.TP","Otros"
"ANTOFAGASTA",2019,45497,12413,7184,15531
"CALAMA",2019,22183,6190,3665,6648
"MARIA ELENA",2019,556,188,110,98
"MEJILLONES",2019,1653,504,177,475
"OLLAGÜE",2019,33,0,0,0
"SAN PEDRO DE ATACAMA",2019,1108,135,245,294
"SIERRA GORDA",2019,211,38,0,41
"TALTAL",2019,1579,368,321,416
"TOCOPILLA",2019,3391,1049,392,1122
"ANTOFAGASTA",2018,44435,12274,7148,15315
"CALAMA",2018,21792,6091,3394,7037
"MARIA ELENA",2018,565,196,96,75
"MEJILLONES",2018,1577,445,134,374
"OLLAGÜE",2018,38,0,0,0
"SAN PEDRO DE ATACAMA",2018,1110,103,250,231
"SIERRA GORDA",2018,188,40,0,41
"TALTAL",2018,1606,331,329,360
"TOCOPILLA",2018,3404,889,545,1027
"ANTOFAGASTA",2017,43862,12195,7122,15544
"CALAMA",2017,21507,6154,3586,6693
"MARIA ELENA",2017,586,199,85,92
"MEJILLONES",2017,1458,375,126,352
"OLLAGÜE",2017,31,0,0,0
"SAN PEDRO DE ATACAMA",2017,1053,104,220,241
"SIERRA GORDA",2017,181,26,0,45
"TALTAL",2017,1624,301,405,377
"TOCOPILLA",2017,3364,837,614,1207
"ANTOFAGASTA",2016,43552,12154,7084,15994
"CALAMA",2016,21450,5823,3926,7008
"MARIA ELENA",2016,599,174,106,105
"MEJILLONES",2016,1490,338,108,382
"OLLAGÜE",2016,27,0,0,0
"SAN PEDRO DE ATACAMA",2016,973,69,216,244
"SIERRA GORDA",2016,165,0,0,41
"TALTAL",2016,1656,294,405,382
"TOCOPILLA",2016,3284,843,636,1256
"ANTOFAGASTA",2015,43228,12449,6899,15619
"CALAMA",2015,21345,5932,4118,6902
"MARIA ELENA",2015,603,177,102,123
"MEJILLONES",2015,1389,319,114,410
"OLLAGÜE",2015,23,0,0,0
"SAN PEDRO DE ATACAMA",2015,909,48,191,236
"SIERRA GORDA",2015,158,0,0,35
"TALTAL",2015,1662,273,456,372
"TOCOPILLA",2015,3231,766,743,1219
"ANTOFAGASTA",2014,42843,12381,6905,15633
"CALAMA",2014,21248,6115,3889,6712
"MARIA ELENA",2014,621,202,100,155
"MEJILLONES",2014,1353,304,120,391
"OLLAGÜE",2014,25,0,0,0
"SAN PEDRO DE ATACAMA",2014,867,20,191,220
"SIERRA GORDA",2014,155,0,0,29
"TALTAL",2014,1621,278,487,389
"TOCOPILLA",2014,3220,731,752,1106
"ANTOFAGASTA",2013,42600,12522,7237,14795
"CALAMA",2013,20471,5883,3778,6249
"MARIA ELENA",2013,624,182,110,117
"MEJILLONES",2013,1301,317,102,372
"OLLAGÜE",2013,28,0,0,0
"SAN PEDRO DE ATACAMA",2013,843,16,187,170
"SIERRA GORDA",2013,153,0,0,41
"TALTAL",2013,1633,305,424,344
"TOCOPILLA",2013,3162,723,779,1060
"ANTOFAGASTA",2012,42843,12381,6905,15633
"CALAMA",2012,21248,6115,3889,6712
"MARIA ELENA",2012,621,202,100,155
"MEJILLONES",2012,1353,304,120,391
"OLLAGÜE",2012,25,0,0,0
"SAN PEDRO DE ATACAMA",2012,867,20,191,220
"SIERRA GORDA",2012,155,0,0,29
"TALTAL",2012,1621,278,487,389
"TOCOPILLA",2012,3220,731,752,1106
